Bus_Number,Real,Imaginary,Magnitude,Angle
1,1,0,1,0
2,0.998590562691565,1.83085020432543e-05,0.998590562859402,0.00105048048255147
3,0.991944755157595,0.000108745637812445,0.991944761118418,0.0062812631749441
4,0.988476388311184,0.000157408841070894,0.988476400844384,0.0091240036502857
5,0.984968430644033,0.000205117832161944,0.984968452001735,0.011931738673267
6,0.976579619967264,-0.0017379868057739,0.976581166485174,-0.10196731700595
7,0.974687298233446,-0.00365080840332675,0.974694135480261,-0.214607223758659
8,0.972176466784107,-0.00321386074330154,0.972181779025768,-0.189410042344049
9,0.968847366843663,-0.0036298481442477,0.968854166548016,-0.214661269636082
10,0.965801730663985,-0.00398894677171957,0.965809968187271,-0.236641235884563
11,0.965365794621977,-0.00390931558456194,0.96537371011151,-0.232021955459818
12,0.964606828568691,-0.00377141414467743,0.964614201267013,-0.224013562655982
13,0.961461617805714,-0.00429910210135792,0.96147122931082,-0.256191989309563
14,0.960273189105023,-0.00483309379413017,0.960285351606258,-0.288369540398192
15,0.959443786366451,-0.00502356079799196,0.959456937731071,-0.299992772618805
16,0.958683370795951,-0.005120655674349,0.958697046284812,-0.306033438478303
17,0.957559931225424,-0.00562539871732533,0.957576454910608,-0.336592923571592
18,0.957267792853218,-0.00567539250776317,0.957284616670605,-0.339687838980332
19,0.998320761039202,-5.66305700515732e-05,0.99832076264541,-0.00325015043112722
20,0.996494786113606,-0.000509006836102581,0.996494916113254,-0.0292665263501287
21,0.996129286038778,-0.000652392706331381,0.996129499673797,-0.0375245902689714
22,0.995798693453973,-0.000805988812167687,0.995799019633282,-0.0463745810184874
23,0.99017491297943,-9.78539472233473e-05,0.990174917814634,-0.00566225026795653
24,0.986850806193635,-0.000721142035341116,0.986851069681166,-0.0418689303799235
25,0.985195777080731,-0.00101874932868142,0.98519630380341,-0.0592471237378364
26,0.975771885318619,-0.0017292475227247,0.975773417589989,-0.101538569160697
27,0.974720984241728,-0.00171862258651386,0.974722499373416,-0.10102349321751
28,0.970544600415048,-0.00274944274103723,0.97054849483691,-0.162312008741669
29,0.967645786957901,-0.00345061574427721,0.967651939369932,-0.204315342981808
30,0.966270547221524,-0.00344108006972657,0.966276674384635,-0.204040713098963
31,0.964111053300013,-0.00411109309683721,0.964119818374102,-0.244315066404322
32,0.963662019508789,-0.00429821426189629,0.96367160510705,-0.255554228112285
33,0.963525138769429,-0.00437694160815399,0.96353508013901,-0.260271939215076
34,0.998579854358184,8.60122726627589e-06,0.998579854395227,0.000493514883989937
35,0.991337776638827,0.0014632369249252,0.991338856523597,0.0845698018554384
36,0.985296607839967,0.00268149017484417,0.985300256678391,0.155930396280719
37,0.980444419973771,0.00364473972322793,0.980451194494328,0.212992432169391
38,0.976767058495397,0.00435420690583322,0.976776763482593,0.255409950777412
39,0.97431426538815,0.00482709670000484,0.974326222885026,0.283861188521515
40,0.973093061958009,0.00506319016664995,0.973106234244482,0.298118259014102
41,0.990422167393012,0.00174239078559454,0.990423700034041,0.100796951616572
42,0.984384929954259,0.00295958585833221,0.984389378990603,0.172261137588004
43,0.979532371315049,0.00392250097140213,0.979540225038234,0.229437592963887
44,0.975832291785075,0.00463551612889183,0.975843301816584,0.272171268100181
45,0.973373282339259,0.00510926039905911,0.973386691563906,0.300744199696379
46,0.97217358625771,0.0053417646476254,0.972188261740866,0.314817738026125
47,0.990426126061456,0.00174172501237693,0.990427657525335,0.100758034127076
48,0.984402502941568,0.00298805857001521,0.98440703791249,0.173915261986664
49,0.979572471230515,0.00394749970517354,0.979580425052778,0.230890368064854
50,0.97583785786925,0.00463459713893404,0.97584886347297,0.272115758915881
51,0.973380413146163,0.00510808672200747,0.973393816112756,0.300672912666393
52,0.972153718610754,0.00534502968385606,0.972168412339672,0.315016597221509
53,0.991935631558532,0.000101058455698155,0.991935636706453,0.00583729709001701
54,0.986005190635546,0.00151759655012179,0.986006358528954,0.0881859542832145
55,0.981209214459809,0.00266151366000454,0.981212824108918,0.155413466970569
56,0.977604239202845,0.00348959624151203,0.977610467307558,0.204518638166816
57,0.975171936108513,0.00404331174304492,0.975180318373724,0.237561564292942
58,0.973923097017227,0.00432213576108668,0.973932687489831,0.254269061535569
59,0.985160460447641,0.00181686917325602,0.98516213581471,0.105666865159382
60,0.980320505900172,0.00299941178371027,0.980325094425017,0.175302973812615
61,0.976703036315125,0.00379774499416772,0.976710419732597,0.222783850503666
62,0.974257253353319,0.00435356730857902,0.974266980483205,0.256030295341827
63,0.972978519140005,0.00463721743825833,0.972989569570736,0.273069724540496
64,0.985131586799899,0.00182169233307675,0.985133271123173,0.105950478784049
65,0.980298657573971,0.00300305844239518,0.980303257365464,0.175520016082946
66,0.976728056611194,0.0037935908317715,0.97673542369614,0.222534460268211
67,0.974292559012994,0.00434772650280168,0.974302259708881,0.255677540882143
68,0.972972724553794,0.00463820601963285,0.972983779762394,0.273129564404692
69,0.988469141261901,0.000151417369749534,0.988469152859238,0.0087767799738154
70,0.983805591907975,0.0013113990588874,0.983806465945865,0.0763744254423234
71,0.980287785694012,0.00217738694151588,0.98029020386555,0.127263522786934
72,0.977964380482899,0.00276647774866764,0.977968293398326,0.162078578196736
73,0.976814703765414,0.00306019143515951,0.976819497278762,0.179497175304792
74,0.98295436746038,0.00164379241369387,0.982955741914627,0.0958155159812676
75,0.979405984520052,0.00248320269000482,0.979409132492285,0.145268388384749
76,0.977046332936534,0.00307814696056016,0.977051181716413,0.180507556419436
77,0.975932070028097,0.00336579288089415,0.97593787398125,0.197600804539403
78,0.982924361128178,0.00161735178277294,0.982925691762112,0.0942771907720397
79,0.979358862309744,0.00249109153073863,0.979362030467615,0.145736898672523
80,0.977106736613471,0.00309974396235826,0.977111653368262,0.1817627943506
81,0.975958729751256,0.00339312536396751,0.97596462818968,0.199200000445934
82,0.9849611772187,0.000199006362885656,0.984961197322808,0.0115763187404399
83,0.980246361296783,0.00132517317046689,0.980247257032385,0.077456837929377
84,0.976699526120906,0.00217513719319416,0.976701948163621,0.12759909436355
85,0.97431219874328,0.00274977388018836,0.974316079040245,0.161703835636505
86,0.973095160764383,0.00304858772013354,0.973099936178268,0.179500058600538
87,0.979360897171424,0.00163236037697844,0.979362257547644,0.0954982722981122
88,0.975813044733379,0.00248224760518976,0.975816201866417,0.145747185374584
89,0.973429753271554,0.00305610433125886,0.973434550613446,0.179880781376005
90,0.972207594850085,0.00335561552150086,0.972213385857094,0.197758014430745
91,0.97936201611568,0.00163223525623905,0.979363376281808,0.0954908432501119
92,0.975829216079713,0.00247957199971107,0.9758323663581,0.145587673006864
93,0.973421189730288,0.00305746914103002,0.973425991400208,0.179962696045445
94,0.972140329606405,0.00339870519490737,0.972146270704286,0.200311276230169
95,0.976572148013783,-0.00174424542095626,0.9765737057019,-0.102335290831406
96,0.971730487515588,-0.000572922014559174,0.971730656409953,-0.033780981498983
97,0.968114185030468,0.000334491085473654,0.96811424281512,0.0197961428683932
98,0.96568971587152,0.000919904008015852,0.965690154015977,0.0545792301686871
99,0.964479325217929,0.00118198916662773,0.964480049493624,0.0702171161194005
100,0.970781213129044,-0.000283493905889472,0.970781254522919,-0.0167318893729505
101,0.967192514186525,0.000682802889413635,0.967192755203551,0.0404487387254234
102,0.96480865191403,0.00126125142103271,0.964809476302609,0.0749001804887663
103,0.963568012500136,0.00149629331416405,0.963569174271959,0.0889726742611257
104,0.970818906198298,-0.000258082729796596,0.970818940502685,-0.0152315233457156
105,0.967236276366011,0.000675328326899718,0.967236512124483,0.0400041412578282
106,0.964736868644585,0.00127329747559225,0.96473770891814,0.0756211682434731
107,0.963552733928299,0.00146674296793051,0.963553850283228,0.0872169356421851
108,0.974676247421076,-0.00366046052852426,0.974683120946552,-0.215177043553929
109,0.967352851481923,-0.00204828789689592,0.967355020017737,-0.121318788848005
110,0.961240261842026,-0.000701709376506067,0.961240517967369,-0.0418261491665827
111,0.956359816247805,0.000398757255547672,0.956359899379352,0.023889655421482
112,0.952734612754346,0.00125216914895114,0.952735435610406,0.0753032011242335
113,0.950339053075915,0.00181953185225358,0.95034079492432,0.109699131168148
114,0.949129841994434,0.00208324638749951,0.949132128251852,0.125758382816664
115,0.966438558015636,-0.00173078662876604,0.966440107839951,-0.102610416590628
116,0.960294989858788,-0.000411464664011843,0.960295078010431,-0.024549942958016
117,0.955414741664778,0.000688485114712755,0.955414989730708,0.0412881262788215
118,0.951819770359729,0.00160144639848372,0.951821117583663,0.096400638045903
119,0.949454196267431,0.00216371936607269,0.949456661723603,0.130571620623373
120,0.948181173131846,0.00237279457758746,0.948184142050367,0.143380648139178
121,0.966429152403246,-0.00176121654244188,0.966430757218832,-0.104415479114933
122,0.960311316108298,-0.000414247163697927,0.960311405454691,-0.0247155399346732
123,0.955394956031712,0.000691866090915202,0.955395206545189,0.041491740999778
124,0.951785457928305,0.00154221676938199,0.951786707385828,0.0928386054986549
125,0.949429934574686,0.00213512590238982,0.949432335361037,0.128849420325258
126,0.948242697077389,0.00239509904560363,0.948245721878058,0.144719042309581
127,0.974676282434854,-0.00366078383519107,0.974683157174328,-0.215196040950759
128,0.967230608306467,-0.00216117366081921,0.967233022759506,-0.128021096963959
129,0.960991490035582,-0.00092707343543346,0.960991937211735,-0.0552735161776156
130,0.955983007014145,6.07015905113235e-05,0.955983008941315,0.00363808238832493
131,0.952227717708569,0.000801043509625348,0.95222805463984,0.0481989765975615
132,0.949715082671763,0.00129496258450485,0.949715965529868,0.0781243196948715
133,0.948471448464853,0.0015410523198507,0.948472700395361,0.0930926454161471
134,0.966317370065659,-0.00184365625319842,0.966319128838393,-0.109315631985139
135,0.960057875011906,-0.0006385836909516,0.960058087389251,-0.0381103534629191
136,0.955026926094604,0.000352698644082214,0.955026991221736,0.0211597623847303
137,0.951287387401621,0.00109014286690917,0.951288012034669,0.0656589783755563
138,0.948752514648461,0.00158756591387943,0.94875384289989,0.0958740454050544
139,0.947525467293612,0.00183080820030177,0.947527236035273,0.110706736710495
140,0.966312440741572,-0.00187492368708349,0.966314259685102,-0.111170129703011
141,0.96005326405755,-0.000637764473702995,0.960053475891359,-0.0380616458059468
142,0.955032393919285,0.000351803679563125,0.955032458715949,0.0211059491518288
143,0.951277559348672,0.00109180192480433,0.951278185890862,0.0657595822305998
144,0.948746474239637,0.00158858229046647,0.948747804200798,0.0959360356675932
145,0.947525366453923,0.00183079247780036,0.947527135165393,0.110705797774149
146,0.972165463312611,-0.00322358011802924,0.972170807793878,-0.189985003316146
147,0.964828795961527,-0.00165128865112651,0.964830209037207,-0.0980606906482284
148,0.958709967632545,-0.000324734306918188,0.958710022629557,-0.0194072296795913
149,0.953778881294192,0.000738244370589994,0.953779167002274,0.044348096887646
150,0.950065518049003,0.0015360512830173,0.950066759780208,0.0926348523081039
151,0.947586200993387,0.00206794853772155,0.947588457466761,0.125038265901811
152,0.94633471532122,0.00231392065574337,0.946337544246711,0.140095910402416
153,0.963905372471741,-0.00136432458656456,0.963906338012913,-0.0810971602885313
154,0.957834577290898,-1.40633979788115e-05,0.957834577394141,-0.000841244791997201
155,0.952867593633707,0.00105478039160672,0.952868177430103,0.0634237542252704
156,0.949137365139511,0.00185524217581402,0.949139178322918,0.111993706260254
157,0.946689653532158,0.00241437624803315,0.946692732261901,0.146123144725467
158,0.945380932472112,0.00260445915501459,0.945384520017823,0.157845514810325
159,0.963900155132632,-0.00136339796413861,0.963901119367916,-0.0810425194247286
160,0.957782859410773,-3.76271921205304e-05,0.957782860149878,-0.00225090612255422
161,0.952841368968603,0.0010267228615223,0.952841922134934,0.0617383604899296
162,0.949119641534879,0.00182561121271167,0.949121397295203,0.110207063413908
163,0.946621545894459,0.00236036543029842,0.946624488631358,0.142864587834476
164,0.945384224548265,0.00260394160216317,0.945387810655813,0.157813598680257
165,0.972165457870851,-0.00322358667332286,0.972170802373884,-0.189985390719721
166,0.964824443342023,-0.00165104856849948,0.964825856013208,-0.09804687584386
167,0.958673530363303,-0.000342694484760868,0.958673591614345,-0.0204813694975288
168,0.953771507483614,0.000718418675720029,0.953771778054352,0.0431574543110157
169,0.950061102333401,0.00149549902470973,0.950062279371352,0.0901896850636564
170,0.947584864360563,0.00200664893848499,0.94758698904385,0.121331975216644
171,0.946374410803725,0.00227075368584249,0.946377135050503,0.13747661744354
172,0.963938052316109,-0.00133827314852517,0.963938981304312,-0.0795459353400535
173,0.957720990739972,-5.12073365730187e-05,0.957720992108947,-0.00306348539012086
174,0.95285062407875,0.00103656431560524,0.952851187894964,0.0623295357624392
175,0.949140903321486,0.0018133958546903,0.949142635625674,0.109467205845153
176,0.946627019665215,0.00229802362997581,0.946629808992328,0.139090469464584
177,0.945433662569751,0.00255912037440128,0.945437126104716,0.155089081783201
178,0.963904768422088,-0.0013647268436513,0.963905734533309,-0.0811211217570964
179,0.957726028138672,-5.20639063094253e-05,0.957726029553821,-0.0031147134001919
180,0.952887120659755,0.00103043205003773,0.952887677803343,0.0619584242970343
181,0.949107087348986,0.00178640448157188,0.949108768528164,0.107841694361115
182,0.946616402605679,0.00229976916493859,0.946619196203166,0.139197680708998
183,0.945477477866867,0.00258459095116832,0.945481010525265,0.156625396021542
184,0.968839956683877,-0.00363604595150276,0.968846779680554,-0.215029435566718
185,0.964042056984362,-0.00247166197023751,0.964045225467942,-0.146897625426717
186,0.960482429873316,-0.00157597987736248,0.960483722822997,-0.0940120419975847
187,0.958106930333913,-0.000985689092521293,0.958107437366426,-0.0589452003745684
188,0.956938241755619,-0.000681660999992731,0.956938484541224,-0.0408138059992192
189,0.963107271233479,-0.00218177407769234,0.963109742470152,-0.129794713840235
190,0.959582990731585,-0.00126027665948934,0.959583818328879,-0.0752498666476056
191,0.957149197891293,-0.000692598547940915,0.957149448475365,-0.041459541370627
192,0.956049160658566,-0.000368075720128048,0.956049231512522,-0.0220586818444412
193,0.963096693682225,-0.0021477925196905,0.963099088564797,-0.127774545849806
194,0.959591619158583,-0.00122954726071217,0.95959240688214,-0.0734143866939536
195,0.957236154348566,-0.00064274686146453,0.957236370138305,-0.0384718825708176
196,0.9560608303564,-0.000337677449712039,0.956060889989665,-0.0202366745780279
197,0.965794095741425,-0.003995334021653,0.965802359731505,-0.237022024014979
198,0.960850070402092,-0.00279607336258929,0.960854138679724,-0.166730227344528
199,0.957078960452916,-0.00192329005670156,0.957080892916725,-0.115138101711965
200,0.954550395719353,-0.00132013517162587,0.954551308586838,-0.0792395308164747
201,0.953277324393544,-0.00100773628342311,0.953277857046586,-0.0605689581790025
202,0.959963597111197,-0.00244922572717056,0.959966721550978,-0.146182618977982
203,0.956156372693837,-0.00160275083163831,0.956157715993164,-0.0960415836552398
204,0.953591113351805,-0.0009934689891172,0.953591630858916,-0.0596917890305404
205,0.952320133677939,-0.000681541406874034,0.952320377555294,-0.0410045300205519
206,0.9599670505373,-0.00244982209918108,0.959970176487583,-0.14621768741918
207,0.956114911656069,-0.00162795514219109,0.956116297596185,-0.0975561280439047
208,0.95360628853761,-0.000996065359765557,0.953606808744923,-0.0598468373841066
209,0.952307265298766,-0.000646798380979653,0.952307484948511,-0.0389147632051201
210,0.965360241979904,-0.00391380795691587,0.965368175717546,-0.232289915605245
211,0.961827452505693,-0.00299520377732489,0.961832116140472,-0.178422834618361
212,0.959483703398057,-0.002363352987595,0.959486614040964,-0.141127855909138
213,0.958316792983014,-0.00205804377866165,0.958319002867752,-0.123045992886263
214,0.96093393406428,-0.00267940946611544,0.960937669607837,-0.159759636635135
215,0.958578829704973,-0.00201348347932443,0.958580944351742,-0.120348929317034
216,0.957431382737717,-0.00171162096132657,0.957432912687553,-0.102428805347665
217,0.960920134614982,-0.00267702358663269,0.960923863562436,-0.159619671642766
218,0.958613002015231,-0.00201940122804037,0.958615129034574,-0.120698338239964
219,0.95743867518395,-0.00174519064345423,0.957440265723339,-0.104436921305431
220,0.964599438419465,-0.00377763634529302,0.964606835521864,-0.224384862740097
221,0.959797586716886,-0.00262888537641184,0.959801186968364,-0.156932734893052
222,0.956197291938205,-0.00172686614148326,0.956198851273431,-0.103474497321431
223,0.953793428001646,-0.00113232262932721,0.953794100135699,-0.0680202602825427
224,0.952577087481255,-0.000844406947520187,0.952577461741229,-0.0507895290028782
225,0.958929743172806,-0.00234980522663375,0.958932622203493,-0.14039991317962
226,0.955297374068673,-0.00137778258331903,0.955298367625188,-0.0826350773262561
227,0.952878247465981,-0.000813263331327565,0.952878594518256,-0.0489008384099822
228,0.951601815923719,-0.000482612717254025,0.951601938304223,-0.0290580251156809
229,0.958838806669659,-0.00233415034253675,0.958841647736224,-0.139477770683707
230,0.955288186204767,-0.00140862462656887,0.955289224751191,-0.0844856962445591
231,0.952913281844102,-0.000786787090496267,0.952913606655306,-0.0473071057732095
232,0.951709315421526,-0.000566089275425724,0.951709483780201,-0.0340802826648873
233,0.961454008135775,-0.00430525860850746,0.961463647264957,-0.25656089340798
234,0.956612507663409,-0.00304631669636565,0.95661735812366,-0.182456844714097
235,0.952986722059296,-0.00209770952140686,0.952989030790259,-0.12611897450659
236,0.950558614361403,-0.00145790431125258,0.950559732379639,-0.087876430983184
237,0.949361420355989,-0.00114953948748446,0.949362116318833,-0.069376875250148
238,0.955672370667548,-0.00268907079299927,0.955676153913585,-0.161218431504784
239,0.952068658605123,-0.0017770012843605,0.952070316957589,-0.106940349976962
240,0.949658546409691,-0.0011079358752905,0.949659192705926,-0.0668451003406603
241,0.948475358413766,-0.000802028495996061,0.948475697510395,-0.0484491626582892
242,0.955714130506504,-0.00272873762756348,0.955718026019622,-0.163589424519612
243,0.952094035943771,-0.00174883538197013,0.952095642099517,-0.105242518046167
244,0.949599916900332,-0.00109786278836759,0.949600551537234,-0.066241450859721
245,0.948437414755642,-0.000828223692179904,0.948437776379057,-0.0500335702221005
246,0.960261902946359,-0.00484257536279339,0.960274113358424,-0.288938650353394
247,0.952937161652628,-0.00308186546895911,0.952942145123898,-0.185297914580698
248,0.946815633325326,-0.00163153058019849,0.946817039031972,-0.0987306510132023
249,0.941896345796241,-0.000449697012483852,0.941896453147433,-0.02735517451811
250,0.938185795138766,0.000422073173345552,0.938185890080384,0.0257763547180094
251,0.935715674538689,0.00100283552182768,0.935716211923507,0.0614056411696646
252,0.934511411422905,0.00129116337326088,0.934512303387433,0.0791623986310838
253,0.952025198440953,-0.00276126426127233,0.95202920283301,-0.166180837350604
254,0.945899921794056,-0.0013106642020573,0.945900829839287,-0.0793905119837816
255,0.940985794247309,-0.000130030593373845,0.94098580323148,-0.00791744594448567
256,0.937271557018399,0.000742085812282331,0.937271850791993,0.0453639885660009
257,0.934724283559065,0.00133568632581773,0.934725237881683,0.0818734877007293
258,0.933583970085295,0.00157999105526708,0.933585307067305,0.0969668884720688
259,0.95203003008479,-0.00272956325403629,0.952033943039219,-0.164272156236603
260,0.945907114222055,-0.00134466937620771,0.945908069989693,-0.0814496762323005
261,0.940979175577416,-9.60672430481668e-05,0.940979180481305,-0.0058494892340379
262,0.937220074083423,0.000750797002454944,0.937220374811109,0.0458990278795932
263,0.934787848987961,0.00132497189158842,0.934788787997616,0.0812112038094379
264,0.933614628377796,0.00164117090253384,0.933616070857256,0.100718290460179
265,0.95943645295383,-0.00502968419507513,0.959449636499868,-0.300360733528259
266,0.954692446321194,-0.00387425676402541,0.954700307388774,-0.232511887631031
267,0.951128906153019,-0.0029665363550559,0.951133532401094,-0.178702866318286
268,0.948748153215575,-0.00236810248519655,0.948751108636688,-0.143011604948434
269,0.947583118521901,-0.00208102052307456,0.947585403620227,-0.125829068747467
270,0.953801273022278,-0.00358925420848254,0.953808026368352,-0.215609008753695
271,0.950217806055697,-0.00264585416228966,0.95022148970098,-0.159538038492397
272,0.947814525772637,-0.00204373317961054,0.947816729178652,-0.123544323261163
273,0.946694678932771,-0.00173183456912754,0.946696262996003,-0.104813836124972
274,0.953789900124226,-0.00358727680567135,0.953796646111666,-0.215492795365595
275,0.950252455859625,-0.00261924690416153,0.950256065658932,-0.157927940230023
276,0.947843422691303,-0.00201606681807516,0.947845566780042,-0.121868172452633
277,0.946708049989534,-0.00179953151719668,0.946709760290168,-0.108909432911983
278,0.958675685167784,-0.00512700365876305,0.958689394693838,-0.306415271819906
279,0.953732405491312,-0.00389497564348244,0.953740358860579,-0.233990607551364
280,0.949988951338506,-0.00297395630956475,0.949993606337098,-0.179364810638844
281,0.947450504838328,-0.00236405326503093,0.947453454195108,-0.142962606321106
282,0.946180603345268,-0.00206946875542859,0.946182866494498,-0.125316071824344
283,0.952826118387877,-0.00354212808188522,0.952832702290102,-0.212995897965384
284,0.949087974099548,-0.00265478524930531,0.949091687069855,-0.160267117209845
285,0.946493202433472,-0.002035416276658,0.946495390993632,-0.123213333314723
286,0.945218823202033,-0.00174012206490974,0.945220424959299,-0.105479847707398
287,0.952824958410083,-0.00357447340259388,0.952831663112263,-0.214941136248317
288,0.949068164648338,-0.00261878805878266,0.949071777685893,-0.158097308485185
289,0.946488049265108,-0.00200174217620346,0.946490166020445,-0.121175547287185
290,0.945217228623224,-0.00173984793508821,0.945218829878566,-0.105463408911565
291,0.957552203624541,-0.00563153815506554,0.957568763529912,-0.336962984558818
292,0.952681911881478,-0.00431893249279579,0.952691701655906,-0.259745572493636
293,0.949017984846305,-0.00331865885005308,0.949023787403827,-0.20035908035962
294,0.946575448860566,-0.0026520021122537,0.946579163884767,-0.160524056384206
295,0.945372374636185,-0.0023199864301266,0.945375221307548,-0.140606143886321
296,0.951751648878219,-0.00399377546874558,0.951760028255496,-0.240425257866525
297,0.948108882761058,-0.00296492277668613,0.948113518697784,-0.179174576901304
298,0.945654185775622,-0.00229633627893937,0.945656973873329,-0.139131323582413
299,0.944462476542748,-0.0019664020158694,0.944464523597445,-0.119291529664834
300,0.951788496655883,-0.0039676470496971,0.951796766431562,-0.238843098606863
301,0.948083453719353,-0.00296051652453569,0.948088076011141,-0.178913100997151
302,0.945625181024023,-0.0022913313837184,0.945627957066746,-0.138832344412029
303,0.944466827809221,-0.00196708574602561,0.944468876278274,-0.119332458169182
304,0.957258286187397,-0.00568330755330815,0.957275157130477,-0.340164943197248
305,0.951117857805735,-0.00417848084917628,0.951127036278108,-0.251711998937518
306,0.946201598415379,-0.00296677391837698,0.946206249499178,-0.179647833547492
307,0.942495178394039,-0.00206743355997076,0.942497445926267,-0.125682369664043
308,0.940037922926784,-0.00148289114717082,0.940039092541718,-0.0903828788845343
309,0.938800263138151,-0.00121093345045694,0.938801044113225,-0.0739042586888708
310,0.95016837261251,-0.00384991146974254,0.950176172155159,-0.232150930255692
311,0.945287640980331,-0.00261199863983322,0.945291249682897,-0.15831807249623
312,0.941526798317909,-0.00170341444271473,0.941528339229115,-0.103659664299159
313,0.939094287239493,-0.00112326284780411,0.939094959013878,-0.0685321917569017
314,0.937845591537377,-0.000915478635886153,0.937846038359829,-0.0559292978328934
315,0.950212969213656,-0.00385761500614835,0.9502207996331,-0.232604533656455
316,0.945286487643182,-0.00264450164010391,0.945290186720305,-0.160288324856891
317,0.9415738118867,-0.00174438869027429,0.941575427739463,-0.106147807187475
318,0.939137375406109,-0.00116358480919961,0.939138096242657,-0.0709890440996588
319,0.937876253946436,-0.000887672547686428,0.937876674024443,-0.0542287697030091
320,0.998311647952621,-6.42621855262179e-05,0.998311650020928,-0.00368817895233873
321,0.992407242191991,0.00136482647228743,0.992408180693011,0.0787970341251709
322,0.987698486638139,0.00251839227729356,0.987701697278552,0.146090064836809
323,0.984133332873209,0.00336056429035256,0.984139070591388,0.195649711070123
324,0.981753323022371,0.00390876165361895,0.981761104181222,0.228116734908623
325,0.98055493246531,0.00420334737353624,0.98056394167397,0.245608462309589
326,0.99147352134948,0.00167824081231908,0.991474941705217,0.0969829467438471
327,0.986832704120196,0.0028513388945475,0.986836823418476,0.165549063490083
328,0.983262811368309,0.00366274331672671,0.983269633370478,0.213430997671811
329,0.980883188262783,0.00421070415287584,0.980892226009578,0.245955989153435
330,0.979639636149328,0.00454430978988309,0.979650176066056,0.265779266809601
331,0.991528080617488,0.00166899682500661,0.991529485291991,0.0964434448690881
332,0.986837900437256,0.00285047064034943,0.986842017205532,0.165497781383342
333,0.983210214495459,0.00370295458028768,0.983217187482415,0.215785661029262
334,0.98082888524558,0.00418815333449258,0.980837826942069,0.244652309108909
335,0.979656116458269,0.00451000541422275,0.979666497673027,0.263768526510244
336,0.996485681194979,-0.00051661470663871,0.996485815110971,-0.0297042298062698
337,0.99059351696634,0.000916326033219584,0.990593940779542,0.053000144345238
338,0.98585073563086,0.00207588286880803,0.985852921197474,0.120646206429244
339,0.982287354627108,0.00296053401053436,0.982291816021058,0.172684285816353
340,0.979925978541353,0.00356919466011619,0.979932478577351,0.208688095267974
341,0.978779279225839,0.00388136303613046,0.978786974995516,0.227206030782585
342,0.989694949822684,0.00125578517917249,0.989695746530691,0.0727003327041301
343,0.984932613281293,0.00238700056871475,0.984935505744834,0.138857002681499
344,0.981366843272036,0.00327173771284502,0.981372297011375,0.191015285880801
345,0.978992993268604,0.0038821734384416,0.979000690571578,0.227203860482726
346,0.97790861185036,0.00421555816026475,0.977917698000042,0.246988513887965
347,0.989750706231209,0.00118378749747201,0.989751414163181,0.0685283624211699
348,0.984981110463343,0.00237881264706051,0.984983982975972,0.138373881990156
349,0.981385190169917,0.00326864965823285,0.981390633517272,0.190831428364524
350,0.97901986479482,0.00390938149549279,0.979027670153681,0.228789912981615
351,0.977918890963983,0.00421388725213942,0.977927969816796,0.246888021916992
352,0.996119984364633,-0.00066022992453095,0.996120203165336,-0.0379757290669979
353,0.990073793850765,0.000783957146990701,0.990074104225969,0.0453677561544506
354,0.985227450696653,0.00193138016748248,0.985229343775132,0.112319028871239
355,0.981568083669188,0.00278320185375196,0.981572029496848,0.162459736667667
356,0.979092405976667,0.00337985369146012,0.979098239632854,0.197785808061453
357,0.977856921441725,0.00365795626871111,0.977863763238802,0.214330413419099
358,0.98917845755182,0.00112309643457091,0.989179095123931,0.06505262780982
359,0.984315032292846,0.0022417189283745,0.984317584980285,0.130487503669165
360,0.980705406847695,0.00305346106463018,0.980710160365833,0.178391865042625
361,0.978149300212685,0.00372646768410327,0.978156398572318,0.218279395379008
362,0.976927064438619,0.00397071647744049,0.976935133886586,0.232877203722285
363,0.989153101405666,0.00109605203173231,0.989153708657307,0.0634877753036622
364,0.984343642312009,0.00226842741823695,0.984346256112666,0.13203832638187
